"Author","Quote"
"Wayne Dyer","Simply put, you believer that things or people make you unhappy, but this is not accurate. You make yourself unhappy."
"Maya Angelou","Nothing will work unless you do."
"Catherine Pulsifer","Our ability to achieve happiness and success depends on the strength of our wings."
"Theodore H. White","To go against the dominant thinking of your friends, of most of the people you see every day, is perhaps the most difficult act of heroism you can perform."
"Melody Beattie","Gratitude makes sense of our past, brings peace for today, and creates a vision for tomorrow."
"Byron Pulsifer","Into each life rain must fall but rain can be the giver of life and it is all in your attitude that makes rain produce sunshine."
"Harold Nicolson","We are all inclined to judge ourselves by our ideals; others, by their acts."
"Rodin","Nothing is a waste of time if you use the experience wisely."
"Aristotle","If one way be better than another, that you may be sure is natures way."
"Napoleon Hill","Here is one quality that one must possess to win, and that is definiteness of purpose, the knowledge of what one wants, and a burning desire to possess it."
"William Shakespeare","It is not in the stars to hold our destiny but in ourselves."
"Tony Robbins","Using the power of decision gives you the capacity to get past any excuse to change any and every part of your life in an instant."
"Abraham Lincoln","I will prepare and some day my chance will come."
"Tom Jackson","Sometimes the cards we are dealt are not always fair. However you must keep smiling and moving on."
"Arnold Schwarzenegger","Strength does not come from winning. Your struggles develop your strengths. When you go through hardships and decide not to surrender, that is strength."
"Arnold Schwarzenegger","For me life is continuously being hungry. The meaning of life is not simply to exist, to survive, but to move ahead, to go up, to achieve, to conquer."
"Arnold Schwarzenegger","I saw a woman wearing a sweatshirt with Guess on it. I said, Thyroid problem?"
"Arnold Schwarzenegger","Bodybuilding is much like any other sport. To be successful, you must dedicate yourself 100% to your training, diet and mental approach."
"Arnold Schwarzenegger","It's simple, if it jiggles, it's fat."
"Arnold Schwarzenegger","The resistance that you fight physically in the gym and the resistance that you fight in life can only build a strong character."
"Arnold Schwarzenegger","The mind is the limit. As long as the mind can envision the fact that you can do something, you can do it, as long as you really believe 100 percent."
"Arnold Schwarzenegger","The last three or four reps is what makes the muscle grow. This area of pain divides the champion from someone else who is not a champion. That's what most people lack, having the guts to go on and just say they'll go through the pain no matter what happens."
"Arnold Schwarzenegger","Help others and give something back. I guarantee you will discover that while public service improves the lives and the world around you, its greatest reward is the enrichment and new meaning it will bring your own life."
"Arnold Schwarzenegger","What we face may look insurmountable. But I learned something from all those years of training and competing. I learned something from all those sets and reps when I didn't think I could lift another ounce of weight. What I learned is that we are always stronger than we know."
"Arnold Schwarzenegger","The future is green energy, sustainability, renewable energy."
"Arnold Schwarzenegger","The worst thing I can be is the same as everybody else. I hate that."
"Arnold Schwarzenegger","Failure is not an option. Everyone has to succeed."
"Arnold Schwarzenegger","Start wide, expand further, and never look back."
"Arnold Schwarzenegger","Training gives us an outlet for suppressed energies created by stress and thus tones the spirit just as exercise conditions the body."
"Arnold Schwarzenegger","My body is like breakfast, lunch, and dinner. I don't think about it, I just have it."
"Arnold Schwarzenegger","I welcome and seek your ideas, but do not bring me small ideas; bring me big ideas to match our future."
"Arnold Schwarzenegger","As long as I live, I will never forget that day 21 years ago when I raised my hand and took the oath of citizenship. Do you know how proud I was? I was so proud that I walked around with an American flag around my shoulders all day long."
"Arnold Schwarzenegger","I just use my muscles as a conversation piece, like someone walking a cheetah down 42nd Street."
"Arnold Schwarzenegger","As you know, I'm an immigrant. I came over here as an immigrant, and what gave me the opportunities, what made me to be here today, is the open arms of Americans. I have been received. I have been adopted by America."
"Arnold Schwarzenegger","In our society, the women who break down barriers are those who ignore limits."
"Arnold Schwarzenegger","Learned helplessness is the giving-up reaction, the quitting response that follows from the belief that whatever you do doesn't matter."
"Arnold Schwarzenegger","My own dreams fortunately came true in this great state. I became Mr. Universe; I became a successful businessman. And even though some people say I still speak with a slight accent, I have reached the top of the acting profession."
"Arnold Schwarzenegger","If it's hard to remember, it'll be difficult to forget."
